step,ratio makespan
0,1.8991761568415104
5000,1.762401116597615
10000,1.7106201555634402
15000,1.607658310925523
20000,1.5379139405820932
25000,1.5007105150346924
30000,1.49771041197575
35000,1.534717675663924
40000,1.5073284637247573
45000,1.4905014627261337
50000,1.4202157560756754
55000,1.405331395053493
60000,1.3046183658370774
65000,1.3005573521592095
70000,1.2738241472260086
75000,1.261300990402566
80000,1.2423014442591112
85000,1.2312316943421333
90000,1.2195526633379394
95000,1.1946322641780773
100000,1.2055841468361814
105000,1.1850991117262757
110000,1.1850899345890653
115000,1.1738203952134432
120000,1.1758301596669396
125000,1.175092678208806
130000,1.177852009050734
135000,1.1793604871482943
140000,1.208369067972918
145000,1.2048098871397848
150000,1.1661200567004635
155000,1.181205038462413
160000,1.1714390693700247
165000,1.1876432948837403
170000,1.2166912389849016
175000,1.188638278930589
180000,1.166974783963666
185000,1.2120729469266343
190000,1.1585613094553462
195000,1.1810853822566387
200000,1.1616215931359586
205000,1.166097709636138
210000,1.1625603844494166
215000,1.1695523414753508
220000,1.1631720142022763
225000,1.1691592950803018
